VOTACIO,ELECCIO,ANY_VOTACIO,DISTRICTE,CODI_BARRI,NOM_BARRI,PARTIT,NOM_PARTIT,VOTS
M,Eleccions Municipals                    ,2007,3,6,XUQUER                                  ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,13
M,Eleccions Municipals                    ,2007,3,6,XUQUER                                  ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,38
M,Eleccions Municipals                    ,2007,3,6,XUQUER                                  ,PFIV           ,FAMÍLIA I VIDA                                    ,1
M,Eleccions Municipals                    ,2007,3,6,XUQUER                                  ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,40
M,Eleccions Municipals                    ,2007,3,6,XUQUER                                  ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,203
M,Eleccions Municipals                    ,2007,3,6,XUQUER                                  ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,0
M,Eleccions Municipals                    ,2007,3,30,SEGLE XX                                ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,59
M,Eleccions Municipals                    ,2007,3,30,SEGLE XX                                ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,466
M,Eleccions Municipals                    ,2007,3,30,SEGLE XX                                ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,37
M,Eleccions Municipals                    ,2007,3,30,SEGLE XX                                ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,196
M,Eleccions Municipals                    ,2007,3,30,SEGLE XX                                ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,176
M,Eleccions Municipals                    ,2007,3,30,SEGLE XX                                ,PFIV           ,FAMÍLIA I VIDA                                    ,3
M,Eleccions Municipals                    ,2007,3,30,SEGLE XX                                ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,114
M,Eleccions Municipals                    ,2007,3,30,SEGLE XX                                ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,646
M,Eleccions Municipals                    ,2007,3,30,SEGLE XX                                ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,6
M,Eleccions Municipals                    ,2007,3,31,CAN PALET                               ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,150
M,Eleccions Municipals                    ,2007,3,31,CAN PALET                               ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,556
M,Eleccions Municipals                    ,2007,3,31,CAN PALET                               ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,39
M,Eleccions Municipals                    ,2007,3,31,CAN PALET                               ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,242
M,Eleccions Municipals                    ,2007,3,31,CAN PALET                               ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,369
M,Eleccions Municipals                    ,2007,3,31,CAN PALET                               ,PFIV           ,FAMÍLIA I VIDA                                    ,9
M,Eleccions Municipals                    ,2007,3,31,CAN PALET                               ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,351
M,Eleccions Municipals                    ,2007,3,31,CAN PALET                               ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,1749
M,Eleccions Municipals                    ,2007,3,31,CAN PALET                               ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,13
M,Eleccions Municipals                    ,2007,4,27,CA N AURELL                             ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,173
M,Eleccions Municipals                    ,2007,4,27,CA N AURELL                             ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,2279
M,Eleccions Municipals                    ,2007,4,27,CA N AURELL                             ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,176
M,Eleccions Municipals                    ,2007,4,27,CA N AURELL                             ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,707
M,Eleccions Municipals                    ,2007,4,27,CA N AURELL                             ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,590
M,Eleccions Municipals                    ,2007,4,27,CA N AURELL                             ,PFIV           ,FAMÍLIA I VIDA                                    ,30
M,Eleccions Municipals                    ,2007,4,27,CA N AURELL                             ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,586
M,Eleccions Municipals                    ,2007,4,27,CA N AURELL                             ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,2168
M,Eleccions Municipals                    ,2007,4,27,CA N AURELL                             ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,17
M,Eleccions Municipals                    ,2007,4,28,LA MAURINA                              ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,95
M,Eleccions Municipals                    ,2007,4,28,LA MAURINA                              ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,219
M,Eleccions Municipals                    ,2007,4,28,LA MAURINA                              ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,23
M,Eleccions Municipals                    ,2007,4,28,LA MAURINA                              ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,105
M,Eleccions Municipals                    ,2007,4,28,LA MAURINA                              ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,224
M,Eleccions Municipals                    ,2007,4,28,LA MAURINA                              ,PFIV           ,FAMÍLIA I VIDA                                    ,5
M,Eleccions Municipals                    ,2007,4,28,LA MAURINA                              ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,243
M,Eleccions Municipals                    ,2007,4,28,LA MAURINA                              ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,1215
M,Eleccions Municipals                    ,2007,4,28,LA MAURINA                              ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,1
M,Eleccions Municipals                    ,2007,4,29,LA COGULLADA                            ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,70
M,Eleccions Municipals                    ,2007,4,29,LA COGULLADA                            ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,284
M,Eleccions Municipals                    ,2007,4,29,LA COGULLADA                            ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,14
M,Eleccions Municipals                    ,2007,4,29,LA COGULLADA                            ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,118
M,Eleccions Municipals                    ,2007,4,29,LA COGULLADA                            ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,133
M,Eleccions Municipals                    ,2007,4,29,LA COGULLADA                            ,PFIV           ,FAMÍLIA I VIDA                                    ,4
M,Eleccions Municipals                    ,2007,4,29,LA COGULLADA                            ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,140
M,Eleccions Municipals                    ,2007,4,29,LA COGULLADA                            ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,736
M,Eleccions Municipals                    ,2007,4,29,LA COGULLADA                            ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,2
M,Eleccions Municipals                    ,2007,4,32,ROC BLANC                               ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,114
M,Eleccions Municipals                    ,2007,4,32,ROC BLANC                               ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,172
M,Eleccions Municipals                    ,2007,4,32,ROC BLANC                               ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,10
M,Eleccions Municipals                    ,2007,4,32,ROC BLANC                               ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,67
M,Eleccions Municipals                    ,2007,4,32,ROC BLANC                               ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,215
M,Eleccions Municipals                    ,2007,4,32,ROC BLANC                               ,PFIV           ,FAMÍLIA I VIDA                                    ,7
M,Eleccions Municipals                    ,2007,4,32,ROC BLANC                               ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,169
